COD MUNIC.,UF,MUNICIPIO,COMARCA
3500105,SP,ADAMANTINA,ADAMANTINA
3516002,SP,FLORIDA PAULISTA,ADAMANTINA
3528908,SP,MARIAPOLIS,ADAMANTINA
3533205,SP,NOVA INDEPENDENCIA,ADAMANTINA
3500303,SP,AGUAI,AGUAI
3500501,SP,AGUAS DE LINDOIA,AGUAS DE LINDOIA
3527009,SP,LINDOIA,ÁGUAS DE LINDÓIA
3500709,SP,AGUDOS,AGUDOS
3536570,SP,PAULISTANIA,AGUDOS
3501004,SP,ALTINOPOLIS,ALTINOPOLIS
3547908,SP,SANTO ANTONIO DA ALEGRIA,ALTINÓPOLIS
3501608,SP,AMERICANA,AMERICANA
3501905,SP,AMPARO,AMPARO
3531209,SP,MONTE ALEGRE DO SUL,AMPARO
3502101,SP,ANDRADINA,ANDRADINA
3511003,SP,CASTILHO,ANDRADINA
3532108,SP,MURUTINGA DO SUL,ANDRADINA
3502200,SP,ANGATUBA,ANGATUBA
3509452,SP,CAMPINA DO MONTE ALEGRE,ANGATUBA
3502507,SP,APARECIDA,APARECIDA
3540754,SP,POTIM,APARECIDA
3544301,SP,ROSEIRA,APARECIDA
3502705,SP,APIAI,APIAI
3505351,SP,BARRA DO CHAPEU,APIAI
3522158,SP,ITAOCA,APIAÍ
3522653,SP,ITAPIRAPUA PAULISTA,APIAÍ
3542800,SP,RIBEIRA,APIAÍ
3502804,SP,ARACATUBA,ARACATUBA
3548054,SP,SANTO ANTONIO DO ARACANGUA,ARAÇATUBA
3501707,SP,AMERICO BRASILIENSE,ARARAQUARA
3503208,SP,ARARAQUARA,ARARAQUARA
3516853,SP,GAVIAO PEIXOTO,ARARAQUARA
3532058,SP,MOTUCA,ARARAQUARA
3532900,SP,NOVA EUROPA,ARARAQUARA
3543709,SP,RINCAO,ARARAQUARA
3546900,SP,SANTA LUCIA,ARARAQUARA
3503307,SP,ARARAS,ARARAS
3504008,SP,ASSIS,ASSIS
3514700,SP,ECHAPORA,ASSIS
3516101,SP,FLORINIA,ASSIS
3553955,SP,TARUMA,ASSIS
3504107,SP,ATIBAIA,ATIBAIA
3507100,SP,BOM JESUS DOS PERDOES,ATIBAIA
3525201,SP,JARINU,ATIBAIA
3532405,SP,NAZARE PAULISTA,ATIBAIA
3504206,SP,AURIFLAMA,AURIFLAMA
3518909,SP,GUZOLANDIA,AURIFLAMA
3503109,SP,ARANDU,AVARE
3504503,SP,AVARE,AVARE
3535804,SP,PARANAPANEMA,AVARÉ
3503158,SP,ARAPEI,BANANAL
3504909,SP,BANANAL,BANANAL
3549607,SP,SAO JOSE DO BARREIRO,BANANAL
3505203,SP,BARIRI,BARIRI
3522000,SP,ITAJU,BARIRI
3505302,SP,BARRA BONITA,BARRA BONITA
3520004,SP,IGARACU DO TIETE,BARRA BONITA
3505500,SP,BARRETOS,BARRETOS
3512100,SP,COLOMBIA,BARRETOS
3524204,SP,JABORANDI,COLINA
3505708,SP,BARUERI,BARUERI
3525003,SP,JANDIRA,BARUERI
3539103,SP,PIRAPORA DO BOM JESUS,BARUERI
3547304,SP,SANTANA DE PARNAIBA,BARUERI
3505906,SP,BATATAIS,BATATAIS
3503406,SP,AREALVA,BAURU
3504305,SP,AVAI,BAURU
3506003,SP,BAURU,BAURU
3506102,SP,BEBEDOURO,BEBEDOURO
3506409,SP,BILAC,BILAC
3516507,SP,GABRIEL MONTEIRO,BILAC
3537701,SP,PIACATU,BILAC
3506508,SP,BIRIGUI,BIRIGUI
3507753,SP,BREJO ALEGRE,BIRIGUI
3511904,SP,CLEMENTINA,BIRIGUI
3512506,SP,COROADOS,BIRIGUI
3548401,SP,SANTOPOLIS DO AGUAPEI,BIRIGUI
3507001,SP,BOITUVA,BOITUVA
3521002,SP,IPERO,BOITUVA
3507407,SP,BORBOREMA,BORBOREMA
3507506,SP,BOTUCATU,BOTUCATU
3523503,SP,ITATINGA,BOTUCATU
3536109,SP,PARDINHO,BOTUCATU
3507605,SP,BRAGANCA PAULISTA,BRAGANCA PAULISTA
3536802,SP,PEDRA BELA,BRAGANÇA PAULISTA
3538204,SP,PINHALZINHO,BRAGANÇA PAULISTA
3554953,SP,TUIUTI,BRAGANÇA PAULISTA
3556354,SP,VARGEM,BRAGANÇA PAULISTA
3507803,SP,BRODOWSKI,BRODOWSKI
3507902,SP,BROTAS,BROTAS
3554706,SP,TORRINHA,BROTAS
3508108,SP,BURITAMA,BURITAMA
3527256,SP,LOURDES,BURITAMA
3539608,SP,PLANALTO,BURITAMA
3555208,SP,TURIUBA,BURITAMA
3557154,SP,ZACARIAS,BURITAMA
3508405,SP,CABREUVA,CABREUVA
3508504,SP,CACAPAVA,CACAPAVA
3524907,SP,JAMBEIRO,CAÇAPAVA
3508603,SP,CACHOEIRA PAULISTA,CACHOEIRA PAULISTA
3552007,SP,SILVEIRAS,CACHOEIRA PAULISTA
3508702,SP,CACONDE,CACONDE
3553609,SP,TAPIRATIBA,CACONDE
3508801,SP,CAFELANDIA,CAFELANDIA
3518107,SP,GUARANTA,CAFELANDIA
3525805,SP,JULIO MESQUITA,CAFELANDIA
3509403,SP,CAJURU,CAJURU
3510906,SP,CASSIA DOS COQUEIROS,CAJURU
3546256,SP,SANTA CRUZ DA ESPERANCA,CAJURU
3509502,SP,CAMPINAS,CAMPINAS
3536505,SP,PAULINIA,CAMPINAS
3509700,SP,CAMPOS DO JORDAO,CAMPOS DO JORDAO
3509908,SP,CANANEIA,CANANEIA
3510005,SP,CANDIDO MOTA,CANDIDO MOTA
3510203,SP,CAPAO BONITO,CAPAO BONITO
3517604,SP,GUAPIARA,CAPÃO BONITO
3543253,SP,RIBEIRAO GRANDE,CAPÃO REDONDO
3510401,SP,CAPIVARI,CAPIVARI
3530904,SP,MOMBUCA,CAPIVARI
3542107,SP,RAFARD,CAPIVARI
3510500,SP,CARAGUATATUBA,CARAGUATATUBA
3510609,SP,CARAPICUIBA,CARAPICUIBA
3510708,SP,CARDOSO,CARDOSO
3530003,SP,MIRA ESTRELA,CARDOSO
3540309,SP,PONTES GESTAL,CARDOSO
3510807,SP,CASA BRANCA,CASA BRANCA
3523800,SP,ITOBI,CASA BRANCA
3511102,SP,CATANDUVA,CATANDUVA
3511201,SP,CATIGUA,CATANDUVA
3514924,SP,ELISIARIO,CATANDUVA
3519402,SP,IBIRA,CATANDUVA
3533254,SP,NOVAIS,CATANDUVA
3538105,SP,PINDORAMA,CATANDUVA
3552601,SP,TABAPUA,CATANDUVA
3500550,SP,AGUAS DE SANTA BARBARA,CERQUEIRA CESAR
3511409,SP,CERQUEIRA CESAR,CERQUEIRA CESAR
3519253,SP,IARAS,CERQUEIRA CESAR
3511508,SP,CERQUILHO,CERQUILHO
3510153,SP,CANITAR,CHAVANTES
3557204,SP,CHAVANTES,CHAVANTES
3512001,SP,COLINA,COLINA
3502309,SP,ANHEMBI,CONCHAS
3512308,SP,CONCHAS,CONCHAS
3537503,SP,PEREIRAS,CONCHAS
3512407,SP,CORDEIROPOLIS,CORDEIROPOLIS
3512803,SP,COSMOPOLIS,COSMOPOLIS
3513009,SP,COTIA,COTIA
3513108,SP,CRAVINHOS,CRAVINHOS
3551405,SP,SERRA AZUL,CRAVINHOS
3513405,SP,CRUZEIRO,CRUZEIRO
3526605,SP,LAVRINHAS,CRUZEIRO
3513504,SP,CUBATAO,CUBATAO
3513603,SP,CUNHA,CUNHA
3513702,SP,DESCALVADO,DESCALVADO
3513801,SP,DIADEMA,DIADEMA
3514106,SP,DOIS CORREGOS,DOIS CORREGOS
3534807,SP,OURO VERDE,DRACEMA
3514403,SP,DRACENA,DRACENA
3508306,SP,CABRALIA PAULISTA,DUARTINA
3514502,SP,DUARTINA,DUARTINA
3527504,SP,LUCIANOPOLIS,DUARTINA
3555505,SP,UBIRAJARA,DUARTINA
3514809,SP,ELDORADO,ELDORADO
3521200,SP,IPORANGA,ELDORADO
3515004,SP,EMBU,EMBU
3515186,SP,ESPIRITO SANTO DO PINHAL,ESPIRITO SANTO DO PINHAL
3548104,SP,SANTO ANTONIO DO JARDIM,ESPÍRITO SANTO DO PINHAL
3514205,SP,DOLCINOPOLIS,ESTRELA D'OESTE
3515202,SP,ESTRELA D'OESTE,ESTRELA D'OESTE
3540408,SP,POPULINA,ESTRELA D'OESTE
3549201,SP,SAO JOAO DAS DUAS PONTES,ESTRELA D'OESTE
3555307,SP,TURMALINA,ESTRELA D'OESTE
3515400,SP,FARTURA,FARTURA
3553005,SP,TAGUAI,FARTURA
3515509,SP,FERNANDOPOLIS,FERNANDOPOLIS
3518008,SP,GUARANI D'OESTE,FERNANDOPOLIS
3520707,SP,INDIAPORA,FERNANDOPOLIS
3528205,SP,MACEDONIA,FERNANDOPOLIS
3529609,SP,MERIDIANO,FERNANDOPOLIS
3534757,SP,OUROESTE,FERNANDOPOLIS
3536901,SP,PEDRANOPOLIS,FERNANDOPOLIS
3513207,SP,CRISTAIS PAULISTA,FRANCA
3516200,SP,FRANCA,FRANCA
3542701,SP,RESTINGA,FRANCA
3543105,SP,RIBEIRAO CORRENTE,FRANCA
3549508,SP,SAO JOSE DA BELA VISTA,FRANCA
3516309,SP,FRANCISCO MORATO,FRANCISCO MORATO
3509007,SP,CAIEIRAS,FRANCO DA ROCHA
3516408,SP,FRANCO DA ROCHA,FRANCO DA ROCHA
3516606,SP,GALIA,GALIA
3515657,SP,FERNAO,GÁLIA
3501400,SP,ALVARO DE CARVALHO,GARCA
3501509,SP,ALVINLANDIA,GARCA
3516705,SP,GARCA,GARCA
3527801,SP,LUPERCIO,GARÇA
3516903,SP,GENERAL SALGADO,GENERAL SALGADO
3532868,SP,NOVA CASTILHO,GENERAL SALGADO
3549250,SP,SAO JOAO DE IRACEMA,GENERAL SALGADO
3517000,SP,GETULINA,GETULINA
3517307,SP,GUAIMBE,GETULINA
3517406,SP,GUAIRA,GUAIRA
3517703,SP,GUARA,GUARA
3518206,SP,GUARARAPES,GUARARAPES
3544400,SP,RUBIACEA,GUARARAPES
3518404,SP,GUARATINGUETA,GUARATINGUETA
3518602,SP,GUARIBA,GUARIBA
3540903,SP,PRADOPOLIS,GUARIBA
3518701,SP,GUARUJA,GUARUJA
3518800,SP,GUARULHOS,GUARULHOS
3519105,SP,IACANGA,IBITINGA
3519600,SP,IBITINGA,IBITINGA
3552700,SP,TABATINGA,IBITINGA
3519709,SP,IBIUNA,IBIUNA
3503000,SP,ARAMINA,IGARAPAVA
3508207,SP,BURITIZAL,IGARAPAVA
3520103,SP,IGARAPAVA,IGARAPAVA
3520301,SP,IGUAPE,IGUAPE
3520426,SP,ILHA COMPRIDA,IGUAPE
3520442,SP,ILHA SOLTEIRA,ILHA SOLTEIRA
3523008,SP,ITAPURA,ILHA SOLTEIRA
3520509,SP,INDAIATUBA,INDAIATUBA
3506300,SP,BERNARDINO DE CAMPOS,IPAUSSU
3520905,SP,IPAUSSU,IPAUSSU
3521309,SP,IPUA,IPUA
3521804,SP,ITAI,ITAI
3522109,SP,ITANHAEM,ITANHAEM
3523305,SP,ITARIRI,ITANHAEM
3537206,SP,PEDRO DE TOLEDO,ITANHÉM
3515103,SP,EMBU-GUACU,ITAPECERICA DA SERRA
3522208,SP,ITAPECERICA DA SERRA,ITAPECERICA DA SERRA
3526209,SP,JUQUITIBA,ITAPECERICA DA SERRA
3549953,SP,SAO LOURENCO DA SERRA,ITAPECERICA DA SERRA
3500758,SP,ALAMBARI,ITAPETININGA
3522307,SP,ITAPETININGA,ITAPETININGA
3551108,SP,SARAPUI,ITAPETININGA
3508009,SP,BURI,ITAPEVA
3521705,SP,ITABERA,ITAPEVA
3522406,SP,ITAPEVA,ITAPEVA
3532827,SP,NOVA CAMPINA,ITAPEVA
3543006,SP,RIBEIRAO BRANCO,ITAPEVA
3553856,SP,TAQUARIVAI,ITAPEVA
3522505,SP,ITAPEVI,ITAPEVI
3522604,SP,ITAPIRA,ITAPIRA
3522703,SP,ITAPOLIS,ITAPOLIS
3505005,SP,BARAO DE ANTONINA,ITAPORANGA
3522802,SP,ITAPORANGA,ITAPORANGA
3543501,SP,RIVERSUL,ITAPORANGA
3523107,SP,ITAQUAQUECETUBA,ITAQUAQUECETUBA
3507159,SP,BOM SUCESSO DE ITARARE,ITARARE
3523206,SP,ITARARE,ITARARE
3523404,SP,ITATIBA,ITATIBA
3532009,SP,MORUNGABA,ITATIBA
3523909,SP,ITU,ITU
3524105,SP,ITUVERAVA,ITUVERAVA
3524303,SP,JABOTICABAL,JABOTICABAL
3553104,SP,TAIACU,JABOTICABAL
3553203,SP,TAIUVA,JABOTICABAL
3524402,SP,JACAREI,JACAREI
3505401,SP,BARRA DO TURVO,JACUPIRANGA
3509254,SP,CAJATI,JACUPIRANGA
3524600,SP,JACUPIRANGA,JACUPIRANGA
3536208,SP,PARIQUERA-ACU,JACUPIRANGA
3524709,SP,JAGUARIUNA,JAGUARIUNA
3548005,SP,SANTO ANTONIO DE POSSE,JAGUARIUNA
3503950,SP,ASPASIA,JALES
3513850,SP,DIRCE REIS,JALES
3524808,SP,JALES,JALES
3529658,SP,MESOPOLIS,JALES
3535903,SP,PARANAPUA,JALES
3540259,SP,PONTALINDA,JALES
3545704,SP,SANTA ALBERTINA,JALES
3556958,SP,VITORIA BRASIL,JALES
3525102,SP,JARDINOPOLIS,JARDINOPOLIS
3506805,SP,BOCAINA,JAU
3525300,SP,JAU,JAU
3522901,SP,ITAPUI,JAÚ
3529807,SP,MINEIROS DO TIETE,JAÚ
3500204,SP,ADOLFO,JOSE BONIFACIO
3525706,SP,JOSE BONIFACIO,JOSE BONIFACIO
3529500,SP,MENDONCA,JOSÉ BONIFÁCIO
3555356,SP,UBARANA,JOSÉ BONIFÁCIO
3509205,SP,CAJAMAR,JUNDIAI
3509601,SP,CAMPO LIMPO PAULISTA,JUNDIAI
3524006,SP,ITUPEVA,JUNDIAI
3525904,SP,JUNDIAI,JUNDIAI
3526001,SP,JUNQUEIROPOLIS,JUNQUEIROPOLIS
3526100,SP,JUQUIA,JUQUIA
3526407,SP,LARANJAL PAULISTA,LARANJAL PAULISTA
3526704,SP,LEME,LEME
3546207,SP,SANTA CRUZ DA CONCEICAO,LEME
3507456,SP,BOREBI,LENCOIS PAULISTA
3526803,SP,LENCOIS PAULISTA,LENCOIS PAULISTA
3521408,SP,IRACEMAPOLIS,LIMEIRA
3526902,SP,LIMEIRA,LIMEIRA
3517208,SP,GUAIÇARA,LINS
3527108,SP,LINS,LINS
3544608,SP,SABINO,LINS
3509957,SP,CANAS,LORENA
3527207,SP,LORENA,LORENA
3538501,SP,PIQUETE,LORENA
3527405,SP,LUCELIA,LUCELIA
3520806,SP,INUBIA PAULISTA,LUCÉLIA
